collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments
90001,col,,44.766666,42.099998,"Zhinvali-Aranisi, Caucasus",,Reef 3998,8,Late Oxfordian,,161.2,155.7,Bendukidze,1982,30142,GE,,,based on nearby landmark,minutes,local area,"Zhinvali and Aranisi, Aragvi River area",gp_mid,54.58,32.83,511,GE,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90002,col,,43.783333,42.450001,"Alkhashenda, Ribisa, Valkhokh",,Reef 3999,33,Late Oxfordian,Kimmeridgian,161.2,152.1,Bendukidze,1982,30142,GE,South Ossetia,,based on nearby landmark,minutes,local area,"Valkhokh Mts., Alkhashenda, Ribisa, Tsona, Ertso, Khampalgomi, Tetragele, Patara-Khikhata, Fasrago, western South Ossetia",gp_mid,53.23,32.81,511,GE,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90017,col,,43.416668,42.533333,"Korta, Racha Region",,Reef 4000,48,Late Oxfordian,Kimmeridgian,161.2,152.1,Bendukidze,1982,30142,GE,,,based on nearby landmark,minutes,local area,"several localities in Racha region: Korta, Zhashkva, Tskhmori, Dzhoisubani, Psori-Badzhikhevi, Chordula-gele, Khirkhonisi, ...",gp_mid,52.89,32.79,511,GE,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90018,col,,40.833332,43.333332,"Reshava River, Abkhaziya",,Reef 3919,21,Late Oxfordian,Kimmeridgian,161.2,152.1,Bendukidze,1982,30142,GE,,,based on nearby landmark,minutes,local area,Reshava and Serebryanyy River,gp_mid,50.45,32.9,511,GE,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90019,col,,39.916668,43.983334,"Oshten-Fisht Mountains, Caucasus",,Reef 2017,5,Late Oxfordian,,161.2,155.7,Bendukidze,1982,30142,RU,Adygeya,,based on nearby landmark,minutes,local area,,gp_mid,49.84,33.4,302,RU,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90020,col,,39.849998,44.216667,"Belaya-Pshekha Rivers, Caucasus",,Reef 4001,18,Late Oxfordian,Kimmeridgian,161.2,152.1,Bendukidze,1982,30142,RU,,,estimated from map,minutes,local area,,gp_mid,49.3,33.49,302,RU,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90026,col,,34.900002,44.816666,"Gora Sokol, Khoba-Kaya, Crimea",,Reef 1308,7,Late Oxfordian,Kimmeridgian,161.2,152.1,Bendukidze,1982,30142,UA,,,based on nearby landmark,minutes,local area,near Novyy Svet,gp_mid,45.08,32.91,302,UA,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90027,col,,44.549999,42.150002,"Dzhvarisubani, Caucasus",,Reef 3998,6,Late Oxfordian,Kimmeridgian,161.2,152.1,Bendukidze,1982,30142,GE,,,based on nearby landmark,minutes,outcrop,,gp_mid,53.98,32.72,511,GE,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90042,col,,167.883331,-21.533333,"MA 172, Winikuyé, Maré Island",,Reef 4009,41,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,"NW of Winikuyé, W Maré Island",gp_mid,167.88,-21.53,834,NC,,,,,group of beds,,,,,,,,"terrace XIV, 2-2.2 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",reefal limestones,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90043,col,,167.949997,-21.633333,"MA 126, Eni, Maré Island",,Reef 4009,18,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,"between Eni and Awi, Niri Bay, SW Maré",gp_mid,167.95,-21.63,834,NC,,,,,group of beds,,,,,,,,"terrace XIII 4-4.5 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",limestone with corals and Lithothamnium,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90044,col,,167.866669,-21.383333,"MA 115, Rô, Maré Island",,Reef 4009,23,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,"near Rô, Baie du Nord, N Maré",gp_mid,167.87,-21.38,834,NC,,,,,group of beds,,,,,,,,"terrace XIII 3.8-4 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",coral limestone,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90050,col,,167.850006,-21.466667,"MA 97, Padawa, Maré Island",,Reef 4009,13,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,W Maré,gp_mid,167.85,-21.47,834,NC,,,,,group of beds,,,,,,,,"terrace XIII 3-4 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",limestone with corals and Lithothamnium,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90051,col,,167.866669,-21.566668,"MA 22, Pédé, Maré Island",,Reef 4009,11,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,W Maré,gp_mid,167.87,-21.57,834,NC,,,,,group of beds,,,,,,,,"terrace XIII 4-4.5 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",coral limestone,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90052,col,,167.833328,-21.483334,"MA 15, Nécé, Maré Island",,Reef 4009,15,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,"coast between Lo and Ethi, near Nécé, W Maré",gp_mid,167.83,-21.48,834,NC,,,,,group of beds,,,,,,,,"terrace XIII 3-4 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",reef limestones,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90053,col,,168.100006,-21.583332,"MA 50, Patho, Maré Island",,Reef 4009,5,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,SE Maré,gp_mid,168.1,-21.58,834,NC,,,,,group of beds,,,,,,,,"terrace XIII 4 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",limestone with corals and Lithothamnium,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90054,col,,167.899994,-21.6,"MA 133, Cengéité, Maré Island",,Reef 4009,9,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,"Niri Bay, SW Maré",gp_mid,167.9,-21.6,834,NC,,,,,group of beds,,,,,,,,"terrace XIII 4-4.5 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",reef limestone,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90055,col,,167.850006,-21.466667,"MA 161, Padawa, Maré Island",,Reef 4009,8,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,W Maré,gp_mid,167.85,-21.47,834,NC,,,,,group of beds,,,,,,,,"terrace XIII 3-4 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",reef limestones,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90056,col,,167.850006,-21.466667,"MA 162, Padawa, Maré Island",,Reef 4009,6,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,W Maré,gp_mid,167.85,-21.47,834,NC,,,,,group of beds,,,,,,,,"between terrace XIII and XII, 4-8 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",reef limestones,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90057,col,,167.883331,-21.533333,"MA 170, Winikuyé, Maré Island",,Reef 4009,3,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,"NW of Winikuyé, W Maré Island",gp_mid,167.88,-21.53,834,NC,,,,,group of beds,,,,,,,,"terrace XIII, 3-4 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90058,col,,167.866669,-21.583332,"MA176, Pédé, Maré Island",,Reef 4009,9,Late Pleistocene,,0.126,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,W Maré,gp_mid,167.87,-21.58,834,NC,,,,,group of beds,,,,,,,,"terrace XV 1.5 m above sea level, questionable age of the terraces 2-5 m above sea level: 98-90 ka (Th/U) (after Bernat 1976 reported in Marshall and Launay 1978)",reef limestone,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90061,col,,168.100006,-21.583332,"MA 18, Patho, Maré Island",,Reef 4010,4,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,SE Maré,gp_mid,168.2,-21.99,834,NC,,,,,group of beds,,,,,,,,"terrace VI 20-25 m above sea level, Pleistocene?",coral limestone,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90062,col,,167.983337,-21.450001,"MA 92, Asiréré, Maré Island",,Reef 4010,4,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,NE Maré,gp_mid,168.08,-21.86,834,NC,,,,,group of beds,,,,,,,,"terrace VI 20-25 m above sea level, Pleistocene?",limestone with corals and Lithothamnium,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90063,col,,168.03334,-21.466667,"MA 80, La Roche, Maré Island",,Reef 4010,5,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,NE Maré,gp_mid,168.13,-21.87,834,NC,,,,,group of beds,,,,,,,,Pleistocene?,limestone with corals and Lithothamnium,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90064,col,,168.100006,-21.583332,"MA 56, Patho, Maré Island",,Reef 4010,3,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,SE Maré,gp_mid,168.2,-21.99,834,NC,,,,,group of beds,,,,,,,,"terrace III 40-55 m above sea level, Pleistocene?",coral and Lithothamnium debris,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90065,col,,167.983337,-21.450001,"MA 94, Asiréré, Maré Island",,Reef 4010,3,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,NE Maré,gp_mid,168.08,-21.86,834,NC,,,,,group of beds,,,,,,,,"terrace III 40-45 m above sea level, Pleistocene?",limestone with corals and Lithothamnium,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90066,col,,167.866669,-21.516666,"MA 165, Wébégunine, Maré Island",,Reef 4010,2,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,outcrop,W Maré Island,gp_mid,167.97,-21.92,834,NC,,,,,group of beds,,,,,,,,"terrace III, 60-65 m above sea level, Pleistocene?",,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90067,col,,168.116669,-21.516666,"MA 151, Dranine, Maré Island",,Reef 4010,1,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,small collection,E Maré,gp_mid,168.22,-21.92,834,NC,,,,,bed,,,,,,,,"terrace II 50-62 m above sea level, Pleistocene?",,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90068,col,,167.850006,-21.450001,"MA 104, Kavai, Maré Island",,Reef 4010,2,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,small collection,"between Padawa and Kavai, W Maré",gp_mid,167.95,-21.86,834,NC,,,,,bed,,,,,,,,"between terrace II and I, 75 m above sea level",,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90069,col,,167.850006,-21.450001,"MA 108, Kavai, Maré Island",,Reef 4010,3,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,small collection,"between Padawa and Kavai, W Maré",gp_mid,167.95,-21.86,834,NC,,,,,bed,,,,,,,,"terrace I?, 85 m above sea level, Pleistocene?",,limestone,,,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90074,col,,167.899994,-21.4,"MA 13, Ténane, Maré Island",,,4,Pleistocene,,2.588,0.0117,Chevalier,1968,30174,NC,,,based on nearby landmark,minutes,small collection,"road Ténane-Lion, N Maré",gp_mid,168,-21.81,834,NC,,,,,bed,,,,,,,,"N border of the ancient lagoon,  Pleistocene?",,limestone,,,,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
90243,col,Calcaires noduleux cendres,4.403889,44.640556,"Elmi's reef, Aubenas, Ardeche",,Reef 2476,6,Planorbis,Liasicus,201.3,196.5,Kiessling et al.,2009,30296,FR,,,stated in text,seconds,outcrop,Forested slope of hill opposite of small village Le Sartre,gp_mid,17.93,32.33,305,FR,,Calcaires noduleux cendres,,,group of beds,,,,,,,,Early Hettangian Planorbis to Liasicus zone,20 m thick coral reef,framestone,,lithified,,,floatstone,,lithified,,,"reef, buildup or bioherm",,"Below fair-weather wave base, above storm wave-base",macrofossils,,,,,,,,"body,replaced with calcite,replaced with dolomite",poor,,,,,,abundant,,,,,,paleoecologic,"peel or thin section,field collection",MfN,difficult macrofossils,,,,,,Quantitative data for corals only
90457,col,Falun de Saucats,-1.034167,43.727501,"Mainot, St.-Paul-les-Dax",,,2,Aquitanian,,23.03,20.44,Cahuzac and Janssen,2010,55728,FR,Aquitaine,Landes,stated in text,seconds,small collection,"Lamb. III: x = 328.400, y = 3164.050 (1° 2’ 3.4’’ W, 43° 43’ 38.6’’ N).",gp_mid,2.2,40.02,305,FR,,Falun de Saucats,,,bed,N4,,,,,,,"N4 and SBZ24 zones. Given area and age, this should be Falun de Saucats formation.",yellow-orange coral faluns and shelly sands. ,limestone,yellow,lithified,,,"""siliciclastic""",,lithified,,,perireef or subreef,,Infralittoral facies.,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91282,col,Moshi Sandstone,141.933334,39.916668,"Koikorobe, Tanohata-mura",,,15,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"Koikorobe S of Raga, Tanohata-mura, Shimogei-gun",gp_mid,151.18,48.19,610,JP,,Moshi Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91321,col,Hiraiga Sandstone,141.933334,39.916668,"Hiraiga, southern cliff, Tanohata-mura",,,8,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"S of Raga, Tanohata-mura, Shimogei-gun",gp_mid,151.18,48.19,610,JP,,Hiraiga Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91322,col,Hiraiga Sandstone,141.933334,39.916668,"Haipe, northern cliff, Tanohata-mura",,,11,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"S of Raga, Tanohata-mura, Shimogei-gun",gp_mid,151.18,48.19,610,JP,,Hiraiga Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91323,col,Moshi Sandstone,141.933334,39.916668,"Haipe, Tanohata-mura, Moshi Sandstone",,,8,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"S of Raga, Tanohata-mura, Shimogei-gun",gp_mid,151.18,48.19,610,JP,,Moshi Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91324,col,Moshi Sandstone,141.96666,39.816666,"Moshi, Omoto-mura",,,7,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"S of Omoto, Shimogei-gun",gp_mid,151.27,48.1,610,JP,,Moshi Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91325,col,Hiraiga Sandstone,141.96666,39.799999,"Matsushima, Omoto-mura",,,9,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"S of Omoto, Shimogei-gun",gp_mid,151.28,48.08,610,JP,,Hiraiga Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91326,col,Hiraiga Sandstone,141.96666,39.733334,"Todana, Taro-mura",,,10,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"N of Taro, Shimogei-gun",gp_mid,151.31,48.02,610,JP,,Hiraiga Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91327,col,Hiraiga Sandstone,141.983337,39.683334,"Hideshima, Sakiyama-mura, Hiraiga Sandstone",,,14,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"N of Miyako, Shimogei-gun",gp_mid,151.35,47.98,610,JP,,Hiraiga Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91328,col,Moshi Sandstone,141.983337,39.683334,"Hideshima, Sakiyama-mura, Moshi Sandstone",,,15,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Iwate,,estimated from map,minutes,outcrop,"N of Miyako, Shimogei-gun",gp_mid,151.35,47.98,610,JP,,Moshi Sandstone,Miyako,,group of beds,,,,,,,,,"shallow open-marine setting with abundant fossils (corals, rudists, molluscs, calcareous algae, foraminifers); small coral-rudist buildups may have existed (reef 1216)",sandstone,,lithified,calcareous,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91348,col,Shuparogawa,142.133331,43.216667,Ashibetsu-mura,,Reef 1708,4,Late Aptian,,122.46,112.03,Eguchi,1951,30709,JP,Ishikari,,estimated from map,minutes,local area,"left tributary of the upper course of the river Ashibetsu, N of Shimanoshita tunnel, Ashibetsu-mura; upper course of the Shubari River; Kanayama-mura, all in Sorachi-gun, Ishikari Province, Hokkaido",gp_mid,149.7,51.35,610,JP,,Shuparogawa,Lower Yezo,Orbitolina Limestone,group of beds,,,,,,,,"also known as ""Lower Ammonite Beds""",biostromal limestones and calcareous sandstone olistoliths,limestone,,lithified,,,sandstone,,lithified,calcareous,,perireef or subreef,,,macrofossils,,,,,,,,body,medium,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91350,col,Monobe,133.616669,33.599998,Okuminodani,,,2,Barremian,,129.4,125,Eguchi,1951,30709,JP,Kochi,,stated in text,minutes,outcrop,"near Ryoseki-machi, Kureda-mura, Takaoka-gun",gp_mid,142.23,42.28,610,JP,,Monobe,Monobegawa,,group of beds,,,,,,,,,"""Torinosu"" limestones",limestone,,lithified,,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91380,col,,133.316666,33.5,"Mitoda, Sakawa area",,Reef 240,18,Tithonian,Berriasian,152.1,139.8,Eguchi,1951,30709,JP,Kochi,,stated in text,minutes,outcrop,"Mitoda and Arinoki-dani near Umabara, Kamo-mura, Takaoka-gun",gp_mid,140.69,51.17,610,JP,,,Torinosu,,group of beds,,,,,,,,Nagatake facies of Torinosu,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91381,col,,133.183334,33.483334,"Sanokuni, Ogawa",,Reef 240,5,Tithonian,Berriasian,152.1,139.8,Eguchi,1951,30709,JP,Kochi,,stated in text,minutes,outcrop,"S of Ogawa, Takaoka-gun",gp_mid,140.53,51.11,610,JP,,,Torinosu,,group of beds,,,,,,,,Togano facies of Torinosu,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91382,col,,133.278336,33.48,Togano-mura,,Reef 240; IGPS loco no. Ko-22,11,Tithonian,Berriasian,152.1,139.8,Eguchi,1951,30709,JP,Kochi,,stated in text,seconds,local area,"Konpira-yama and other localities in Togano-mura, Takaoka-gun, Sakawa area\r\n\r\nIGPS loco no. Ko-22.-A point near Hanabatake, Togano-mura, Takaoka-gun, Kochi Prefecture. (tm Susaki, Lat. 33°28'48""N., Long. 133°16'42""E.),",gp_mid,140.65,51.14,610,JP,,,Torinosu,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91383,col,,133.28334,33.516666,Kaiseki-yama,,Reef 240,2,Tithonian,Berriasian,152.1,139.8,Eguchi,1951,30709,JP,Kochi,,stated in text,minutes,local area,"Kaiseki-yama and Mukuroji, Sakawa-machi, Takaoka-gun",gp_mid,140.64,51.17,610,JP,,,Torinosu,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
91384,col,,133.183334,33.650002,Inomine,,Reef 240,1,Tithonian,Berriasian,152.1,139.8,Eguchi,1951,30709,JP,Kochi,,stated in text,minutes,small collection,"W of Inomine, Kusaka-mura, Takaoka-gun",gp_mid,140.44,51.27,610,JP,,,Torinosu,,bed,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
