"r_number","name","country","formation","system","series","intervall","max_ma","min_ma","time_slice_text","reliabilit","subsurface_text","type_text","thickness_text","m_thick","width_text","m_width","extension_text","m_ext","ext_belt","belonging","tropical_text","environment_text","subenvironment_text","bathymetry_text","biota_main_t","biota_sec_text","biota_deta_text","alg_type_text","p_lmc","p_arag","p_hmc","upwell_text","control_text","diversity_text","m_spec","guild_text","macro_bor_text","micro_bor_text","vert_zonat_text","hor_zonat_text","micrite_text","sparite_text","debris_text","dolomite_text","reservoir_text","latit","longit","collection","pal_lat_scotese","pal_long_scotese"
"2053","Monte Grappa, Trento","Italy","","Jurassic","Lower Jurassic","upper Pliensbachian","190.80","182.70","late Hettangian - early Aalenian","3","Outcropping reef","True reef","Less than 10 m thick","10","Less than 10 m wide","","10 - 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Calcisponges","Corals","Stromatoporoids/sponges - corals - (algae)","","0","100","0","no","no","25 or more reef building species","","Constructor guild","Present","","Medium zonation","Medium zonation","30-60% micrite","10-25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","45.85","11.8","","32.2327","20.4925"
"2342","Monte Cetona, Chianciano, Tuscany","Italy","Monte Cetona","Triassic","Upper Triassic","Rhaetian","208.50","201.30","late Carnian - middle Hettangian","3","Outcropping reef","Mud mound or bank","10 to 100 m thick","15","","","Less than 20 m","30","2","","Tropical or unknown","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Serpulids, worms, vermetids","Microbes","Serpulids - algae - microbes","","70","30","0","no","no","6 to 24 reef building species","","Constructor guild","","","Medium zonation","Low zonation","30-60% micrite","More than 25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","43.0333","11.8333","","29.0533","11.7052"
"3067","Marmolada, Dolomites","Italy","","Triassic","Middle Triassic","latest Anisian","247.20","242.00","Induan - early Carnian","3","Outcropping reef","Reef mound","10 to 100 m thick","","Less than 10 m wide","","More than 1000 m","","","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Microbes","Calcisponges","Sponges - microbes - Tubiphytes - (worms)","","0","100","0","no","no","6 to 24 reef building species","7","Microbial precipitation","","Present","","","30-60% micrite","More than 25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","46.4333","11.85","67739","6.3991","23.8561"
"586","Saal and Oberau, Kelheim","Germany","","Jurassic","Upper Jurassic","Kimmeridgian/Tithonian","157.30","145.00","late Bathonian - early Tithonian","2","Outcropping reef","Reef mound","10 to 100 m thick","","","","10 - 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Epeiric sea","Above fair weather wave base","Corals","Microbes","Cyanophyceans - corals - (forams) - (bryozoans) - (hydrozoans)","","0","100","0","no","no","6 to 24 reef building species","","Baffler guild","Present","Present","","","30-60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","48.9167","11.8667","57791","40.849","19.5043"
"1275","Haidach, Brandenberg","Austria","","Cretaceous","Upper Cretaceous","Coniacian","89.80","86.30","late Cenomanian - early Campanian","2","Outcropping reef","Biostrome","Less than 10 m thick","","","","10 - 100 m","","2","","Tropical or unknown","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Rudists","Corals","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","45","55","0","no","no","6 to 24 reef building species","","Baffler guild","Present","Present","Low zonation","Low zonation","More than 60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","47.5167","11.8667","24267","32.2532","13.7215"
"2649","Castelcucco, Veneto","Italy","","Neogene","Miocene","Aquitanian","23.00","20.40","Chattian - Aquitanian","2","Outcropping reef","Biostrome","10 to 100 m thick","","","","More than 1000 m","","20","","Temperate","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Algae","Algae","Coralline algae only (some corals)","Red algae","0","0","100","no","no","6 to 24 reef building species","","Binder guild","","","Medium zonation","Low zonation","Less than 30% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","45.8333","11.8667","","44.6692","11.0643"
"3927","Sass da Putia buildup","Italy","Sciliar Dolomite","Triassic","Middle Triassic","Ladinian","242.00","237.00","Induan - early Carnian","2","Outcropping reef","Reef mound","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Microbes","Algae","Red algae - calcareous sponges - Tubiphytes - microbes - (bryozoans) - (corals)","Red algae","0","90","10","no","no","6 to 24 reef building species","10","Binder guild","","","","","30-60% micrite","10-25% sparite","","Present","No or unknown reservoir potential","46.6667","11.8833","87098","7.84021","22.5136"
"1952","Atzlgraben, Brandenberg","Austria","","Cretaceous","Upper Cretaceous","lower Coniacian","89.80","86.30","late Cenomanian - early Campanian","3","Outcropping reef","Reef mound","10 to 100 m thick","15","","","More than 100 m","","2","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Corals","Algae","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","Red algae","10","70","20","no","no","25 or more reef building species","34","Constructor guild","Present","Present","Pronounced zonation","Low zonation","More than 60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","47.5","11.9222","24265","32.2257","13.7576"
"4312","Saal Quarry","Germany","Unknown","Jurassic","Upper Jurassic","upper Kimmeridgian","157.30","152.10","late Bathonian - early Tithonian","3","Outcropping reef","True reef","10 to 100 m thick","90","10 - 100 m wide","","More than 100 m","","","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Corals","Stromatoporoids","Scleractinian corals - (chaetetids, stromatoporoids-hydrozoans-spongiomorphids) - algae - microbes","","","","","","","25 or more reef building species","31","Constructor guild","Present","Present","Low zonation","Low zonation","Less than 30% micrite","Less than 10% sparite","High production of reefal debris","","No or unknown reservoir potential","48.887","11.941","","",""
"36","Olang","Italy","Recoaro - Upper Serla","Triassic","Middle Triassic","upper Anisian","247.20","242.00","Induan - early Carnian","3","Outcropping reef","Reef mound","10 to 100 m thick","","Less than 10 m wide","","10 - 100 m","","10","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Below fair weather wave base","Calcisponges","Bryozoans","Corals - calcareous sponges (hydrozoans) - solenoporaceans - (Tubiphytes) - (bryozoans)","","30","70","0","no","no","6 to 24 reef building species","18","Baffler guild","Present","Present","Medium zonation","","30-60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","46.75","11.9667","23570","6.59908","24.1161"
"41","Richthofen","Italy","Cassian Dolomite","Triassic","Upper Triassic","lower Carnian","235.00","233.00","Induan - early Carnian","3","Outcropping reef","Reef mound","101-500 m thick","","","","More than 100 m","","12","","Tropical or unknown","Shelf or Platform margin","Unknown","Above fair weather wave base","Calcisponges","Corals","Corals - calcareous sponges (hydrozoans) - solenoporaceans - (Tubiphytes) - (bryozoans)","","0","100","0","no","no","25 or more reef building species","","Baffler guild","","","","","30-60% micrite","Less than 10% sparite","Medium production of reefal debris","Intense","No or unknown reservoir potential","46.5333","11.9667","","11.8502","20.6987"
"156","Wendelstein, Bavaria","Germany","","Triassic","Middle Triassic","Ladinian","242.00","237.00","Induan - early Carnian","2","Outcropping reef","True reef","101-500 m thick","","","","More than 1000 m","","5","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Corals","Calcisponges","Corals - calcareous sponges (hydrozoans) - solenoporaceans - (Tubiphytes) - (bryozoans)","","0","100","0","no","no","25 or more reef building species","21","Baffler guild","","","Medium zonation","Pronounced zonation","30-60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","47.7","12.0167","67652","8.63457","23.1876"
"67","Lagazuoi","Italy","Cassian","Triassic","Middle/Upper Triassic","Ladinian/Carnian","242.00","227.00","Induan - early Carnian","2","Outcropping reef","Mud mound or bank","Less than 10 m thick","","","","10 - 100 m","","2","","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Below fair weather wave base","Microbes","Calcisponges","Red algae - calcareous sponges - Tubiphytes - microbes - (bryozoans) - (corals)","","0","100","0","no","no","6 to 24 reef building species","","Binder guild","","","","","More than 60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","46.5333","12.0333","","12.2857","20.5388"
"587","Sinzing","Germany","","Jurassic","Upper Jurassic","Kimmeridgian","157.30","152.10","late Bathonian - early Tithonian","2","Outcropping reef","Mud mound or bank","10 to 100 m thick","","","","10 - 100 m","","50","","Tropical or unknown","Intrashelf/ Intraplatform","Epeiric sea","Below fair weather wave base","Siliceous sponges","Microbes","Siliceous sponges - microbes - (Tubiphytes)","","","","","no","no","6 to 24 reef building species","","Microbial precipitation","","","","","More than 60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","48.9833","12.05","","40.5721","19.8166"
"288","Zeitz","Germany","","Permian","Upper Permian","Zechstein 1","254.10","251.90","Roadian - Changhsingian","2","Seismic data available","Reef mound","10 to 100 m thick","","","","10 - 100 m","","30","","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Below fair weather wave base","Microbes","Bryozoans","Bryozoans - microbes - (algae) - (crinoids)","","80","20","0","no","no","","","Binder guild","","","","","30-60% micrite","More than 25% sparite","Low production of reefal debris","Present","Potential reservoir","51.05","12.1333","","16.5155","23.3659"
"647","Fakse","Denmark","","Paleogene","Paleocene","middle Danian","66.00","61.60","middle Campanian - Danian/Selandian","3","Outcropping reef","Reef mound","10 to 100 m thick","30","","","More than 100 m","200","80","870","Cold - water","Basin","Shallow basin","Below storm wave base","Corals","Bryozoans","Corals - bryozoans - (algae) - (bivalves)","","30","60","10","no","no","6 to 24 reef building species","8","Baffler guild","","Present","Low zonation","Medium zonation","More than 60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","55.2667","12.1333","34629","48.5393","8.83582"
"2631","Civetta, Dolomites","Italy","Sciliar Dolomite","Triassic","Middle Triassic","Ladinian","242.00","237.00","Induan - early Carnian","2","Outcropping reef","True reef","101-500 m thick","","","","More than 1000 m","","50","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Calcisponges","Microbes","Red algae - calcareous sponges - Tubiphytes - microbes - (bryozoans) - (corals)","","0","100","0","no","no","6 to 24 reef building species","17","Binder guild","","","Pronounced zonation","Pronounced zonation","30-60% micrite","More than 25% sparite","Medium production of reefal debris","Present","Potential reservoir","46.4","12.1333","73877","7.52308","22.5018"
"162","Seelandalpe","Italy","Cassian","Triassic","Upper Triassic","lower Carnian","235.00","233.00","Induan - early Carnian","3","Outcropping reef","True reef","Less than 10 m thick","","","","Less than 20 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Stromatoporoids","Corals","Stromatoporoids/sponges - corals - (algae)","","0","100","0","no","no","25 or more reef building species","110","Constructor guild","Present","Present","Pronounced zonation","","30-60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","46.6833","12.15","34691","11.9001","20.8923"
"1730","Kirchberg, Neubeuern","Germany","","Paleogene","Eocene","lower Priabonian","38.00","33.90","Priabonian - Rupelian","3","Outcropping reef","True reef","Less than 10 m thick","","","","Less than 20 m","","25","1729","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Algae","Corals","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","40","60","no","no","6 to 24 reef building species","21","Binder guild","Present","Present","Low zonation","Medium zonation","30-60% micrite","10-25% sparite","High production of reefal debris","","No or unknown reservoir potential","47.2","12.15","10963","43.2393","10.3846"
"27","Monti Cadini, Dolomites","Italy","Cassian","Triassic","Upper Triassic","lower Carnian","235.00","233.00","Induan - early Carnian","3","Outcropping reef","Mud mound or bank","Less than 10 m thick","","","","10 - 100 m","","2","","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Below fair weather wave base","Microbes","Calcisponges","Red algae - calcareous sponges - Tubiphytes - microbes - (bryozoans) - (corals)","","0","100","0","no","no","6 to 24 reef building species","","Binder guild","","","","","30-60% micrite","10-25% sparite","Low production of reefal debris","","No or unknown reservoir potential","46.5833","12.25","170920","11.7788","20.8909"
"2705","Tripolitania","Libya","Djeffara","Ordovician","Upper Ordovician","Ashgillian","451.00","445.20","Darriwilian - Ashgillian","2","Seismic data available","Reef mound","10 to 100 m thick","90","","","More than 100 m","","","","Cold - water","Ramp or Slope","Deeper slope or outer ramp","Below fair weather wave base","Bryozoans","Bryozoans","Bryozoans only","","100","0","0","no","no","6 to 24 reef building species","7","Baffler guild","","Present","Low zonation","Low zonation","More than 60% micrite","Less than 10% sparite","Low production of reefal debris","Present","No or unknown reservoir potential","29.7833","12.2833","75420","-72.0488","124.45"
"707","Lampione","Tunisia","","Paleogene","Eocene","Lutetian","47.80","41.30","Lutetian - Bartonian","2","Outcropping reef","Reef mound","Less than 10 m thick","","","","Less than 20 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Algae","Corals","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","40","60","no","no","","","Constructor guild","","","","","","","Medium production of reefal debris","","No or unknown reservoir potential","35.55","12.3167","","29.2983","9.33075"
"4158","Brattefors","Sweden","Unknown","Ordovician","Middle Ordovician","Middle Ordovician","470.00","458.40","late Early - early Middle Ordovician","1","Outcropping reef","True reef","","","","","","","","","Tropical or unknown","","","","","","","","","","","","","","","","","","","","","","","","Actual reservoir","58.2","12.33","","-37.6395","-12.4134"
"2966","Saal Quarry, Regensburg","Germany","Regensburger Grünsandstein","Cretaceous","Upper Cretaceous","middle Cenomanian","100.50","93.90","late Aptian - middle Cenomanian","3","Outcropping reef","Biostrome","Less than 10 m thick","1","Less than 10 m wide","","","","","","Temperate","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Siliceous sponges","Siliceous sponges","","","","","","no","no","Less than 6 reef building species","","Baffler guild","","","Low zonation","Low zonation","30-60% micrite","Less than 10% sparite","","","No or unknown reservoir potential","49.0167","12.3333","74183","38.5387","11.8446"
"2967","Saal Quarry, Regensburg","Germany","Regensburger Grünsandstein","Cretaceous","Upper Cretaceous","late Cenomanian","100.50","93.90","late Cenomanian - early Campanian","3","Outcropping reef","Biostrome","Less than 10 m thick","1","Less than 10 m wide","","Less than 20 m","4","","","Temperate","Intrashelf/ Intraplatform","Epeiric sea","Above fair weather wave base","Siliceous sponges","Siliceous sponges","","","","","","no","no","Less than 6 reef building species","","Baffler guild","","","Low zonation","Low zonation","","Less than 10% sparite","","","No or unknown reservoir potential","49.0167","12.3333","74183","38.5387","11.8446"
"870","Stevns Klint","Denmark","","Paleogene","Lower Paleogene","Maastrichtian/Danian","72.10","61.60","middle Campanian - Danian/Selandian","3","Outcropping reef","Reef mound","10 to 100 m thick","12","","","10 - 100 m","100","80","","Cold - water","Basin","Shallow basin","Below fair weather wave base","Bryozoans","Bryozoans","Bryozoans only","","90","0","10","no","yes","25 or more reef building species","","Baffler guild","","","","","More than 60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","55.3167","12.4167","","47.758","9.78825"
"2002","Cansiglio Platform","Italy","","Cretaceous","Lower Cretaceous","lower Aptian","125.00","120.00","late Valanginian - early Aptian","3","Outcropping reef","True reef","Less than 10 m thick","2","","","10 - 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Rudists","Microbes","Bivalves (mostly oysters) - algae (microbes)","","30","70","0","no","no","Less than 6 reef building species","","Constructor guild","Present","Present","","","30-60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","46.0167","12.4167","67614","29.5134","21.536"
"2371","Oberwössen, Bavaria","Germany","","Cretaceous","Lower Cretaceous","Albian","113.00","100.50","late Aptian - middle Cenomanian","2","Outcropping reef","True reef","Less than 10 m thick","","","","Less than 20 m","","","","Tropical or unknown","Shelf or Platform margin","Unknown","Above fair weather wave base","Corals","Corals","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","5","90","5","no","no","6 to 24 reef building species","","Constructor guild","Present","Present","Medium zonation","Medium zonation","30-60% micrite","10-25% sparite","High production of reefal debris","","No or unknown reservoir potential","47.7","12.4833","","29.9662","17.5799"
"549","Hochlerch","Germany","","Jurassic","Lower Jurassic","Toarcian","182.70","174.10","late Hettangian - early Aalenian","1","Outcropping reef","Mud mound or bank","10 to 100 m thick","45","","","More than 100 m","1000","","","Tropical or unknown","Ramp or Slope","Deeper slope or outer ramp","Below fair weather wave base","Echinoderms","Microbes","","","0","0","100","no","no","Less than 6 reef building species","","Baffler guild","","","Low zonation","Low zonation","More than 60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","47.7333","12.5","","33.2317","23.4486"
"1149","Bosco de Cansiglio","Italy","Cellina Limestone","Jurassic","Upper Jurassic","Oxfordian","163.50","157.30","late Bathonian - early Tithonian","2","Outcropping reef","True reef","10 to 100 m thick","","","","More than 100 m","","150","1148","Tropical or unknown","Shelf or Platform margin","Margin of deep basins (shelf margin)","Above fair weather wave base","Corals","Stromatoporoids","Scleractinian corals - (chaetetids, stromatoporoids-hydrozoans-spongiomorphids) - algae - microbes","","10","70","20","no","no","","","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","46.0833","12.5","","33.1463","21.3689"
"40","Fischerwiese, Steinplatte","Austria","Zlambach Beds","Triassic","Upper Triassic","upper Rhaetian","204.00","201.30","late Carnian - middle Hettangian","3","Outcropping reef","Biostrome","Less than 10 m thick","","","","10 - 100 m","","2","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Corals","Corals","Corals only","","0","100","0","no","no","25 or more reef building species","51","Baffler guild","Present","Present","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","47.6","12.5667","38141","32.7523","15.9659"
"165","Lienz","Austria","","Triassic","Middle Triassic","Anisian","247.20","242.00","Induan - early Carnian","2","Outcropping reef","Reef mound","10 to 100 m thick","","","","10 - 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Unknown","Below fair weather wave base","Calcisponges","Microbes","Red algae - calcareous sponges - Tubiphytes - microbes - (bryozoans) - (corals)","","0","100","0","no","no","6 to 24 reef building species","","Binder guild","","","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","Present","No or unknown reservoir potential","46.75","12.5833","","6.34006","24.452"
"806","Lampedusa","Italy","","Neogene","Miocene","Messinian","7.30","5.30","Tortonian - Gelasian","3","Outcropping reef","True reef","Less than 10 m thick","","","","10 - 100 m","","10","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Green algae","0","90","10","no","no","Less than 6 reef building species","5","Constructor guild","Present","Present","","","Less than 30% micrite","","Medium production of reefal debris","","No or unknown reservoir potential","35.5","12.5833","70513","35.3134","12.3286"
"1150","Monte Pala, Friuili Platform","Italy","","Jurassic","Upper Jurassic","Kimmeridgian","157.30","152.10","late Bathonian - early Tithonian","2","Outcropping reef","True reef","10 to 100 m thick","","","","More than 1000 m","","200","","Tropical or unknown","Shelf or Platform margin","Margin of deep basins (shelf margin)","Above fair weather wave base","Stromatoporoids","Corals","Scleractinian corals - (chaetetids, stromatoporoids-hydrozoans-spongiomorphids) - algae - microbes","","0","20","80","no","no","","","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","46.25","12.5833","","33.1566","21.1352"
"2343","Ponte Arverino, Terni, Umbria","Italy","Monte Cetona","Triassic","Upper Triassic","Rhaetian","208.50","201.30","late Carnian - middle Hettangian","3","Outcropping reef","Mud mound or bank","Less than 10 m thick","","","","Less than 20 m","","1","","Tropical or unknown","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Below fair weather wave base","Microbes","Microbes","Microbes/stromatolites  - (cements) - (worm tubes)","","","","","no","no","Less than 6 reef building species","","Microbial precipitation","","Present","Low zonation","Low zonation","More than 60% micrite","More than 25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","42.5667","12.65","","28.3412","12.0061"
"2832","Dietrichshorn, Salzburg","Austria","Lärchberg","Jurassic","Upper Jurassic","Tithonian-Berriasian","152.10","139.80","late Tithonian - early Valanginian","2","Outcropping reef","Biostrome","Less than 10 m thick","4","","","More than 100 m","120","","","Tropical or unknown","Intrashelf/ Intraplatform","Unknown","Above fair weather wave base","Stromatoporoids","Stromatoporoids","Stromatoporoids or chaetetids only","","50","10","40","no","no","Less than 6 reef building species","1","Constructor guild","","","","","","","","","No or unknown reservoir potential","47.6167","12.6667","68260","33.975","21.5622"
"966","Salemi, Sicily","Italy","","Neogene","Miocene","Messinian","7.30","5.30","Tortonian - Gelasian","3","Outcropping reef","True reef","10 to 100 m thick","","","","More than 100 m","","30","","Tropical or unknown","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","","","","","30-60% micrite","","Medium production of reefal debris","","No or unknown reservoir potential","37.8","12.8","69923","37.6121","12.5658"
"1368","Seewarte, Carnic Alps","Austria","Kellergrat","Devonian","Upper Devonian","Givetian-Frasnian","387.70","372.20","Givetian - early Famennian","2","Outcropping reef","Mud mound or bank","10 to 100 m thick","","","","More than 100 m","","1","","Tropical or unknown","Intrashelf/ Intraplatform","Open-marine shelf","Above fair weather wave base","Corals","Stromatoporoids","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","60","5","35","no","no","6 to 24 reef building species","","Baffler guild","","Present","","","More than 60% micrite","10-25% sparite","High production of reefal debris","Present","No or unknown reservoir potential","46.6","12.8","81665","-29.9327","33.0461"
"1731","Salemi, Sicily","Italy","","Neogene","Miocene","Messinian","7.30","5.30","Tortonian - Gelasian","3","Outcropping reef","Mud mound or bank","Less than 10 m thick","4","","","Less than 20 m","","1","","Temperate","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Microbes","Bryozoans","Algae, microbes - bryozoans - corals - (sponges/stromatoporoids)","","70","10","20","no","no","6 to 24 reef building species","","Microbial precipitation","Present","Present","","","More than 60% micrite","10-25% sparite","Low production of reefal debris","","No or unknown reservoir potential","37.8","12.8","69922","37.6121","12.5658"
"3565","Hohe Warte, Carnic Alps","Austria","Rauchkofel Limestone","Devonian","Lower Devonian","Lochkovian","419.20","410.80","middle Pridolian - middle Pragian","2","Outcropping reef","Reef mound","Less than 10 m thick","9","10 - 100 m wide","","10 - 100 m","80","","","Tropical or unknown","","Unknown","","Microbes","Algae","","Green algae","30","60","10","no","no","","","Baffler guild","","","","","","","","","No or unknown reservoir potential","46.6","12.8667","","-50.2952","57.8639"
"1729","Eisenrichterstein, Bad Reichenhall","Germany","","Paleogene","Eocene","lower Priabonian","38.00","33.90","Priabonian - Rupelian","3","Outcropping reef","True reef","10 to 100 m thick","","","","10 - 100 m","","25","","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","25 or more reef building species","60","Baffler guild","Present","Present","Low zonation","Low zonation","30-60% micrite","Less than 10% sparite","High production of reefal debris","","No or unknown reservoir potential","47.1667","12.8833","10703","43.1673","11.0627"
"2880","Oused Marinelli, Carnic Alps","Italy","","Devonian","Upper Devonian","middle Frasnian","382.70","372.20","Givetian - early Famennian","3","Outcropping reef","True reef","101-500 m thick","150","","","","","","","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","","Stromatoporoids","Corals","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","40","0","60","no","no","","","Constructor guild","","","","","","","Medium production of reefal debris","","No or unknown reservoir potential","46.6083","12.9","","-28.5394","31.2292"
"1266","Lattenberg, Bavaria","Germany","Gosau","Cretaceous","Upper Cretaceous","Santonian","86.30","83.60","late Cenomanian - early Campanian","2","Outcropping reef","True reef","10 to 100 m thick","12","","","More than 100 m","","5","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Rudists","Rudists","Rudists only (sometimes with microbial encrustations)","","50","50","0","no","no","Less than 6 reef building species","","Constructor guild","","Present","","","30-60% micrite","10-25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","47.7","12.9167","74481","32.3855","15.1511"
"1331","Artena-Cori","Italy","","Cretaceous","Upper Cretaceous","Cenomanian","100.50","93.90","late Cenomanian - early Campanian","2","Outcropping reef","Reef mound","","","","","","","20","1330","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","Above fair weather wave base","Rudists","Corals","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","40","50","10","no","no","6 to 24 reef building species","","Constructor guild","Present","Present","","","30-60% micrite","10-25% sparite","High production of reefal debris","","No or unknown reservoir potential","41.6333","12.9167","","24.571","12.2611"
"2455","Seewarte, Carnic Alps","Austria","","Devonian","Lower Devonian","upper Pragian-Emsian","410.80","393.30","late Pragian - Eifelian","3","Outcropping reef","True reef","101-500 m thick","280","","","More than 100 m","","8","2877","Tropical or unknown","Shelf or Platform margin","Margin of shallow basins (platform margin)","","Stromatoporoids","Corals","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","40","0","60","no","no","25 or more reef building species","","Constructor guild","","","","","","","Medium production of reefal debris","","No or unknown reservoir potential","46.6667","12.9167","77909","-41.6809","51.8775"
"3195","Central Carnic Alps","Austria","Wolayer","Ordovician","Upper Ordovician","Rawtheyan-Hirnantian","453.00","443.40","Darriwilian - Ashgillian","3","Outcropping reef","Reef mound","Less than 10 m thick","","","","","","","","Temperate","Intrashelf/ Intraplatform","Marginal marine - coastal -  siliciclastic shelf","Above fair weather wave base","Echinoderms","Bryozoans","Bryozoans - crinoids - sponge spicules - (brachiopods) - (microbes) - (Tubiphytes)","","30","0","70","no","no","6 to 24 reef building species","","Baffler guild","","","","","","","","","No or unknown reservoir potential","46.5833","12.9167","","-64.4765","87.5002"
"1329","Rocca di Cave","Italy","","Cretaceous","Upper Cretaceous","Santonian-Campanian","86.30","72.10","late Cenomanian - early Campanian","3","Outcropping reef","Reef mound","Less than 10 m thick","","","","10 - 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Shallow intra-platform","Above fair weather wave base","Corals","Rudists","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","20","80","0","no","no","6 to 24 reef building species","","Constructor guild","Present","Present","","","More than 60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","41.8167","12.9333","74625","27.2545","14.3066"
